Id,L0_S0_F0,L3_S29_F3321,L3_S33_F3857,L3_S34_F3882,L3_S37_F3950,L0_S0_D1,L3_S29_D3316,L3_S37_D3951,Response
92,0.108,0.011,-0.272,0.0,0.0,1496.77,1498.99,1499.01,0
93,-0.029,-0.151,-0.075,0.0,0.0,1096.09,1097.58,1097.61,0
95,0.088,-0.037,0.116,0.0,0.0,821.29,823.49,823.53,0
96,0.01,-0.039,-0.051,0.0,0.0,1249.58,1260.58,1260.61,0
97,,0.204,-0.009,0.0,0.0,,1300.22,1300.24,0
98,0.095,-0.099,-0.175,0.0,0.0,1496.88,1499.09,1499.12,0
99,0.016,-0.147,0.101,0.0,0.0,691.0,692.8,692.83,0
102,,0.093,0.005,0.0,0.0,,1424.01,1424.09,0
103,-0.055,,,,,1443.16,,,0
104,-0.075,-0.039,0.047,0.0,0.0,1113.58,1120.54,1120.56,0
106,0.075,0.22,-0.037,0.0,0.0,62.88,65.71,65.73,0
107,,-0.037,-0.104,0.0,0.0,,760.22,760.24,0
112,0.03,-0.039,-0.02,0.0,0.0,936.79,940.73,940.76,0
115,0.075,0.107,0.077,0.0,0.0,80.54,87.16,87.18,0
116,,0.053,,0.0,0.0,,556.18,556.25,0
118,-0.251,-0.037,0.067,0.0,0.0,904.17,907.98,908.01,0
120,-0.036,,,,,1412.92,,,0
122,0.049,0.107,0.075,0.0,0.0,55.37,61.97,62.0,0
123,-0.023,0.019,-0.163,0.0,0.0,591.9,603.11,603.13,0
124,,-0.006,0.067,0.0,0.0,,89.88,89.91,0
125,-0.029,-0.091,-0.268,0.0,0.0,609.39,611.3,611.32,0
126,0.095,-0.171,-0.131,0.0,0.0,518.78,520.35,520.37,0
127,,0.184,0.059,0.0,0.0,,994.2,994.22,0
131,-0.003,-0.017,0.096,0.0,0.0,1272.52,1278.73,1278.75,0
135,0.023,-0.006,0.115,0.0,0.0,139.45,139.97,140.03,0
136,-0.055,,,,,1374.2,,,0
137,,0.183,-0.153,0.0,0.0,,743.4,743.42,0
140,,,,,,,,,0
142,0.023,0.165,-0.042,0.0,0.0,551.21,552.99,553.02,0
145,0.141,0.073,-0.102,0.0,0.0,634.52,637.18,637.2,0
146,-0.036,-0.151,-0.123,0.0,0.0,1164.57,1170.82,1170.89,0
152,0.095,-0.006,-0.056,0.0,0.0,96.42,99.13,99.16,0
153,0.095,-0.006,-0.056,0.0,0.0,96.42,99.13,99.16,0
156,-0.003,,,,,1398.6,,,0
159,-0.049,0.073,0.1,0.0,0.0,877.14,887.23,887.27,0
160,,-0.139,-0.069,0.0,0.0,,0.71,0.75,0
162,,0.072,0.141,0.0,0.0,,1074.64,1074.67,0
163,-0.062,0.093,-0.247,0.0,0.0,1397.12,1397.66,1397.7,0
165,,0.204,-0.078,0.0,0.0,,1379.09,1379.12,0
166,,0.165,-0.097,0.0,0.0,,493.26,493.38,0
169,0.108,-0.201,-0.089,0.0,0.0,653.85,655.43,655.45,0
174,-0.003,-0.227,-0.116,0.0,0.0,231.86,234.24,234.26,0
175,-0.055,-0.216,0.1,0.0,0.0,370.81,373.4,373.42,0
176,-0.055,-0.216,0.1,0.0,0.0,370.81,373.4,373.42,0
177,-0.055,-0.216,0.1,0.0,0.0,370.81,373.4,373.42,0
179,,0.073,0.107,0.0,0.0,,701.27,701.3,0
181,-0.042,-0.21,-0.011,0.0,0.0,1449.22,1449.78,1449.8,0
183,-0.167,-0.039,0.034,0.0,0.0,1112.6,1115.22,1115.24,0
184,-0.167,-0.039,0.034,0.0,0.0,1112.6,1115.22,1115.24,0
185,-0.023,-0.091,-0.067,0.0,0.0,610.8,616.88,616.9,0
187,,-0.104,-0.106,0.0,0.0,,267.98,268.0,0
188,,,,,,,,,0
190,,-0.091,-0.016,0.0,0.0,,690.45,690.48,0
191,,0.22,0.042,0.0,0.0,,120.95,120.99,0
192,0.069,-0.091,0.141,0.0,0.0,673.36,675.55,675.59,0
197,,0.072,0.107,0.0,0.0,,1165.66,1165.68,0
200,-0.036,-0.171,-0.053,0.0,0.0,576.73,584.29,584.32,0
201,0.03,0.296,-0.163,0.0,0.0,1214.6,1216.26,1216.28,0
205,-0.108,-0.099,0.084,0.0,0.0,1658.58,1660.42,1660.46,0
206,0.128,0.33,-0.018,0.0,0.0,168.47,169.14,169.21,0
208,0.128,0.33,-0.018,0.0,0.0,168.47,169.14,169.21,0
209,0.069,0.073,0.207,0.0,0.0,694.33,701.37,701.4,0
216,-0.095,-0.238,-0.024,0.0,0.0,1331.15,1339.36,1339.39,0
221,,-0.201,0.038,0.0,0.0,,689.1,689.12,0
223,0.154,-0.039,-0.096,0.0,0.0,1107.61,1108.2,1108.21,0
226,-0.003,-0.007,-0.106,0.0,0.0,169.7,171.93,171.96,0
229,,-0.127,-0.019,0.0,0.0,,1331.16,1331.19,0
232,,0.183,-0.031,0.0,0.0,,808.65,808.71,0
235,,0.093,-0.116,0.0,0.0,,1316.72,1316.74,0
237,-0.108,0.184,-0.015,0.0,0.0,959.18,961.8,961.83,0
240,,0.181,0.105,0.0,0.0,,181.27,181.29,0
242,0.075,-0.039,-0.086,0.0,0.0,1213.73,1215.3,1215.32,0
244,,-0.037,-0.036,0.0,0.0,,803.46,803.49,0
245,,-0.238,0.044,0.0,0.0,,1407.94,1407.96,0
246,-0.036,-0.216,0.036,0.0,0.0,273.13,274.38,274.41,0
247,0.016,-0.039,0.049,0.0,0.0,974.82,976.59,976.61,0
248,-0.023,-0.104,-0.165,0.0,0.0,393.24,401.92,401.94,0
249,,-0.037,0.048,0.0,0.0,,795.06,795.08,0
250,,-0.21,0.141,0.0,0.0,,157.79,157.81,0
254,0.075,0.072,-0.012,0.0,0.0,1107.55,1108.24,1108.28,0
255,,-0.171,-0.028,0.0,0.0,,505.97,505.99,0
256,-0.036,0.072,-0.082,0.0,0.0,1112.99,1115.67,1115.69,0
257,0.049,-0.147,-0.012,0.0,0.0,905.48,913.55,913.57,0
258,,-0.039,0.101,0.0,0.0,,1020.64,1020.66,0
259,,0.111,-0.001,0.0,0.0,,239.96,239.98,0
261,0.003,-0.147,-0.05,0.0,0.0,894.51,897.27,897.29,0
264,-0.029,-0.21,0.171,0.0,0.0,1557.54,1561.35,1561.38,0
265,0.049,-0.151,-0.037,0.0,0.0,1239.18,1242.06,1242.09,0
268,,0.165,-0.014,0.0,0.0,,586.19,586.22,0
269,,-0.039,0.108,0.0,0.0,,1038.32,1038.36,0
277,-0.042,0.008,-0.001,0.0,0.0,375.67,389.78,389.8,0
280,0.121,-0.201,-0.08,0.0,0.0,641.79,643.48,643.49,0
282,,0.184,-0.179,0.0,0.0,,1058.03,1058.05,0
284,,0.072,0.007,0.0,0.0,,1165.06,1165.08,0
285,,-0.017,-0.043,0.0,0.0,,1333.47,1333.5,0
286,,-0.017,-0.196,0.0,0.0,,1381.65,1381.68,0
287,-0.114,-0.238,0.049,0.0,0.0,1361.64,1363.71,1363.74,0
288,0.069,-0.017,-0.072,0.0,0.0,1316.0,1325.32,1325.35,0
290,0.095,0.39,-0.024,0.0,0.0,539.25,550.82,550.85,0
292,,-0.037,-0.193,0.0,0.0,,718.37,718.39,0
293,0.003,0.314,0.002,0.0,0.0,1339.1,1342.35,1342.73,0
295,-0.049,0.183,0.004,0.0,0.0,702.76,704.74,704.76,0
297,,0.008,0.132,0.0,0.0,,288.28,288.3,0
303,,-0.037,0.058,0.0,0.0,,742.68,742.72,0
304,,-0.216,0.105,0.0,0.0,,418.68,418.7,0
307,,-0.044,0.004,0.0,0.0,,202.29,202.32,0
308,,0.181,-0.009,0.0,0.0,,189.62,189.66,0
309,-0.01,0.008,0.096,0.0,0.0,339.64,341.25,341.27,0
312,0.075,-0.147,-0.074,0.0,0.0,634.83,638.45,638.47,0
314,,-0.151,0.026,0.0,0.0,,1180.71,1180.73,0
315,-0.023,0.183,0.019,0.0,0.0,638.67,640.66,640.68,0
316,-0.108,0.073,0.1,0.0,0.0,904.38,908.19,908.21,0
319,0.056,0.011,-0.024,0.0,0.0,1542.07,1546.19,1546.47,0
320,-0.206,-0.238,-0.054,0.0,0.0,1382.16,1388.59,1388.76,0
321,,-0.027,0.072,0.0,0.0,,1.14,1.16,0
322,,-0.147,0.049,0.0,0.0,,721.54,721.57,0
323,,-0.039,0.016,0.0,0.0,,1028.46,1028.48,0
324,-0.225,-0.017,0.132,0.0,0.0,1412.0,1412.71,1412.74,0
325,-0.01,-0.002,0.152,0.0,0.0,230.22,231.53,231.56,0
327,,-0.201,0.034,0.0,0.0,,691.6,691.62,0
328,-0.036,-0.21,-0.205,0.0,0.0,1591.22,1592.65,1592.68,0
330,0.108,-0.21,-0.002,0.0,0.0,1662.79,1664.24,1664.27,0
332,,-0.006,0.065,0.0,0.0,,69.39,69.42,0
335,,0.293,0.126,0.0,0.0,,772.22,772.25,0
336,,-0.119,0.008,0.0,0.0,,71.09,71.13,0
337,-0.062,-0.039,0.156,0.0,0.0,1115.18,1121.87,1121.89,0
339,,0.183,-0.093,0.0,0.0,,708.69,708.71,0
342,0.16,-0.21,0.027,0.0,0.0,1649.84,1652.09,1652.12,0
343,,-0.151,0.02,0.0,0.0,,990.62,990.64,0
344,-0.036,-0.171,0.042,0.0,0.0,490.05,491.26,491.29,0
347,,0.093,0.126,0.0,0.0,,1410.0,1410.03,0
351,0.01,-0.201,0.014,0.0,0.0,608.83,610.73,610.75,0
352,,-0.127,-0.208,0.0,0.0,,1412.64,1412.66,0
353,0.03,0.011,0.101,0.0,0.029,1528.76,1530.51,1530.58,0
355,0.03,0.107,-0.04,0.0,0.0,141.27,148.87,148.89,0
359,,-0.171,0.008,0.0,0.0,,586.37,586.39,0
361,-0.003,-0.171,-0.093,0.0,0.0,538.12,550.59,550.63,0
362,,-0.157,-0.045,0.0,0.0,,188.94,188.97,0
363,0.023,0.121,-0.084,0.0,0.0,1515.07,1525.26,1525.28,0
364,,-0.233,-0.033,0.0,0.0,,174.73,174.76,0
365,-0.01,0.183,-0.002,0.0,0.0,885.69,889.5,889.53,0
366,-0.075,-0.231,0.195,0.0,0.0,116.48,118.46,118.49,0
368,-0.088,-0.157,0.074,0.0,0.0,205.19,205.9,205.94,0
372,-0.127,-0.21,-0.268,0.0,0.0,1585.25,1592.36,1592.39,0
374,,-0.127,0.161,0.0,0.0,,1294.66,1294.68,0
376,0.075,0.183,0.142,0.0,0.0,838.51,880.25,880.27,0
377,-0.088,-0.104,0.044,0.0,0.0,323.22,324.42,324.43,0
379,,0.293,-0.037,0.038,0.0,,722.71,722.79,0
382,,-0.037,-0.026,0.0,0.0,,760.36,760.39,0
383,,-0.147,0.034,0.0,0.0,,742.8,742.83,0
384,,0.008,0.005,0.0,0.0,,392.58,392.62,0
387,0.147,-0.201,0.045,0.0,0.0,653.6,655.29,655.32,0
388,,-0.037,-0.105,0.0,0.0,,806.5,806.52,0
389,,0.403,-0.137,0.0,0.0,,745.23,745.26,0
390,0.108,0.296,-0.028,0.0,0.0,1142.26,1143.58,1143.6,0
391,0.043,0.296,-0.019,0.0,0.0,970.71,972.76,972.78,0
396,-0.121,0.294,0.164,0.0,0.0,205.76,216.91,216.93,0
399,,-0.216,0.106,0.0,0.0,,418.95,418.97,0
400,,-0.147,-0.057,0.0,0.0,,786.87,786.9,0
401,,0.121,-0.021,0.0,0.0,,1445.72,1445.8,0
403,0.115,0.296,0.053,0.0,0.0,1105.41,1107.04,1107.07,0
404,-0.082,-0.21,-0.09,0.0,0.0,1584.49,1591.65,1591.67,0
405,-0.082,-0.21,-0.09,0.0,0.0,1584.49,1591.65,1591.67,0
406,,-0.037,-0.202,0.0,0.0,,622.84,622.85,0
407,,0.12,0.075,0.0,0.0,,288.07,288.1,0
409,-0.068,-0.231,-0.078,0.0,0.0,146.82,148.15,148.18,0
410,0.121,,,,,835.34,,,0
412,,,,,,,,,0
416,0.082,-0.151,-0.097,0.0,0.0,1141.94,1143.41,1143.43,0
421,0.108,-0.21,-0.075,0.0,0.0,1643.67,1646.36,1646.38,0
424,,-0.039,0.113,0.0,0.0,,1006.29,1006.32,0
425,,0.184,-0.055,0.0,0.0,,1089.31,1089.35,0
427,0.115,-0.059,-0.162,0.0,0.0,509.05,510.48,510.51,0
428,0.115,-0.059,-0.162,0.0,0.0,509.05,510.48,510.51,0
429,-0.18,0.121,0.018,0.0,0.0,1565.89,1567.92,1567.95,0
430,0.056,0.011,0.006,0.0,0.0,1642.68,1644.37,1644.39,0
431,0.003,-0.21,0.054,0.0,0.0,1650.38,1652.62,1652.64,0
434,,-0.127,0.253,0.0,0.0,,1373.73,1373.76,0
435,,-0.127,-0.144,0.0,0.0,,1316.68,1316.7,0
436,-0.147,0.406,0.016,0.0,0.0,203.6,204.49,204.52,0
439,0.075,-0.017,0.05,0.0,0.0,1394.41,1395.03,1395.07,0
440,-0.127,-0.151,-0.01,0.0,0.0,1111.21,1112.49,1112.51,0
441,0.016,-0.151,0.071,0.0,0.0,944.77,953.67,953.86,0
442,0.088,-0.039,0.002,0.0,0.0,975.36,978.04,978.06,0
444,0.049,0.294,-0.025,0.0,0.0,190.9,191.21,191.24,0
445,,0.008,-0.035,0.0,0.0,,268.23,268.26,0
450,0.075,-0.171,-0.027,0.0,0.0,551.19,552.84,552.87,0
451,,0.165,0.22,0.0,0.0,,501.28,501.29,0
452,,-0.238,0.015,0.0,0.0,,1290.75,1290.77,0
456,-0.062,0.072,0.012,0.0,0.0,938.73,943.7,943.72,0
457,-0.062,0.072,0.012,0.0,0.0,938.73,943.7,943.72,0
459,0.01,-0.037,-0.01,0.0,0.0,824.41,827.51,827.54,0
463,0.128,0.072,0.118,0.0,0.0,921.06,923.24,923.27,0
464,-0.062,0.232,-0.008,0.0,0.0,1434.19,1440.31,1440.33,0
466,-0.003,-0.147,0.05,0.0,0.0,824.18,827.29,827.31,0
469,-0.003,-0.147,0.05,0.0,0.0,824.18,827.29,827.31,0
470,0.062,-0.091,-0.066,0.0,0.0,603.22,607.42,607.45,0
471,,0.073,0.056,0.0,0.0,,700.87,700.89,0
472,,-0.151,0.063,0.0,0.0,,994.35,994.38,0
473,,-0.151,0.063,0.0,0.0,,994.35,994.38,0
476,0.003,,,,,550.11,,,0
477,,-0.119,0.141,0.0,0.0,,68.96,68.98,0
478,-0.095,0.011,0.147,0.0,0.0,1499.83,1507.87,1507.89,0
479,-0.036,-0.104,0.103,0.0,0.0,347.09,349.48,349.51,0
484,,-0.039,0.163,0.002,0.0,,1013.57,1013.68,0
486,,0.093,-0.171,0.0,0.0,,1379.25,1379.29,0
487,0.043,-0.171,-0.142,0.0,0.0,518.46,519.95,519.98,0
488,,0.072,0.144,0.0,0.0,,1127.08,1127.1,0
491,0.03,-0.216,0.019,0.0,0.0,368.1,368.71,368.73,0
492,0.101,0.293,-0.075,0.0,0.0,891.68,896.76,896.78,0
493,-0.016,0.296,0.074,0.0,0.0,971.61,973.44,973.46,0
494,-0.042,,,,,1379.75,,,0
495,,0.053,-0.149,0.0,0.0,,507.89,507.91,0
496,,0.184,0.059,0.0,0.0,,1005.35,1005.37,0
499,0.095,-0.099,-0.027,0.0,0.0,1652.62,1659.53,1659.55,0
500,-0.147,0.311,0.018,0.0,0.0,3.55,5.59,5.66,0
502,-0.049,0.296,-0.148,0.0,0.0,938.98,944.04,944.08,0
503,-0.082,0.128,0.149,0.0,0.0,17.98,23.59,23.61,0
504,0.069,-0.099,-0.114,0.0,0.0,1532.79,1542.45,1542.47,0
505,,-0.037,-0.111,0.0,0.0,,802.19,802.22,0
508,,-0.039,-0.039,0.0,0.0,,1129.15,1129.17,0
510,-0.055,0.204,0.113,0.0,0.0,1357.07,1361.26,1361.27,0
511,,0.073,-0.189,0.0,0.0,,805.31,805.35,0
515,,0.3,-0.005,0.0,0.0,,459.84,459.86,0
516,,0.3,-0.005,0.0,0.0,,459.84,459.86,0
517,-0.127,0.093,-0.149,0.0,0.0,1379.55,1399.19,1399.21,0
518,,0.072,0.172,0.0,0.0,,1072.01,1072.04,0
519,0.095,0.293,0.015,0.0,0.0,824.76,828.65,828.7,0
520,,-0.127,-0.068,0.0,0.0,,1331.12,1331.15,0
522,,0.165,0.026,0.0,0.0,,499.35,499.37,0
523,-0.062,0.296,0.036,0.0,0.0,1225.51,1226.9,1226.93,0
524,-0.029,,,,,566.15,,,0
525,-0.042,-0.039,0.141,0.0,0.0,1153.75,1154.84,1154.87,0
527,-0.153,-0.099,0.077,0.0,0.0,1566.22,1568.3,1568.33,0
532,,-0.039,0.095,0.0,0.0,,1053.86,1053.89,0
533,-0.153,0.011,-0.099,0.0,0.0,1549.16,1551.92,1551.95,0
534,-0.042,-0.099,-0.174,0.0,0.0,1551.27,1558.01,1558.1,0
538,0.121,-0.151,-0.047,0.0,0.0,1108.61,1110.19,1110.21,0
540,-0.029,0.011,-0.113,0.0,0.0,1593.06,1595.27,1595.31,0
541,-0.029,0.011,-0.113,0.0,0.0,1593.06,1595.27,1595.31,0
544,0.141,0.183,-0.051,0.0,0.0,634.26,637.02,637.04,0
545,0.023,-0.238,-0.116,0.0,0.0,1342.69,1350.46,1350.48,0
547,,-0.039,0.043,0.0,0.0,,1020.29,1020.31,0
550,,-0.151,0.103,0.0,0.0,,1040.84,1040.87,0
553,,-0.238,-0.101,0.0,0.0,,1410.99,1411.02,0
555,-0.042,-0.104,0.109,0.0,0.0,254.32,255.23,255.26,0
558,0.075,-0.21,0.021,0.0,0.0,1461.31,1463.19,1463.22,0
560,,0.22,-0.005,0.0,0.0,,101.81,101.83,0
561,-0.095,0.121,0.088,0.0,0.0,1518.4,1527.56,1527.58,0
562,,0.165,0.165,0.0,0.0,,492.01,492.03,0
564,-0.036,0.184,-0.027,0.0,0.0,922.14,925.55,925.58,0
565,,-0.151,-0.038,0.0,0.0,,1180.03,1180.06,0
567,-0.14,-0.147,0.013,0.0,0.0,625.16,632.79,632.82,0
570,-0.042,0.232,0.225,0.0,0.0,336.87,339.01,339.03,0
571,,-0.151,-0.064,0.0,0.0,,1176.77,1176.79,0
573,0.003,0.072,-0.096,0.0,0.0,1170.44,1171.26,1171.28,0
575,-0.016,0.073,-0.144,0.0,0.0,701.44,703.37,703.39,0
576,,,,,,,,,0
580,,-0.039,0.041,0.0,0.0,,997.2,997.23,0
581,0.036,0.008,0.092,0.0,0.0,336.86,338.9,338.93,0
584,0.01,-0.151,-0.045,0.0,0.0,1239.76,1242.77,1242.81,0
585,-0.055,-0.151,0.015,0.0,0.0,1108.61,1110.05,1110.07,0
586,,-0.037,-0.138,0.0,0.0,,776.63,776.65,0
587,,-0.239,0.086,0.0,0.0,,303.57,303.59,0
588,-0.029,0.093,0.076,0.0,0.0,1323.69,1326.2,1326.22,0
589,,-0.231,0.031,0.0,0.0,,135.83,135.86,0
594,0.095,0.204,0.007,0.0,0.0,1399.3,1401.24,1401.26,0
597,0.075,-0.151,0.146,0.0,0.0,1093.99,1095.35,1095.37,0
599,,0.293,-0.095,0.0,0.0,,762.12,762.16,0
601,-0.042,0.073,0.021,0.0,0.0,701.23,702.9,702.94,0
602,,-0.147,-0.113,0.0,0.0,,745.31,745.33,0
603,,0.072,-0.071,0.0,0.0,,1024.95,1024.97,0
604,-0.18,-0.227,0.036,0.0,0.0,230.47,231.9,234.91,0
605,,0.183,-0.036,0.0,0.0,,741.26,741.29,0
607,,-0.151,0.003,0.0,0.0,,1081.56,1081.58,0
609,0.023,0.22,0.008,0.0,0.0,63.44,66.46,66.49,0
610,0.043,0.019,-0.072,0.0,0.0,671.67,672.92,673.0,0
612,-0.01,-0.216,0.017,0.0,0.0,354.75,366.09,366.12,0
613,0.03,-0.151,-0.048,0.0,0.0,962.78,969.01,969.1,0
614,,0.183,-0.109,0.0,0.0,,735.49,735.5,0
616,0.016,0.011,-0.155,0.0,0.0,1575.48,1578.14,1578.18,0
618,,-0.147,-0.08,0.0,0.0,,761.28,761.3,0
620,-0.029,,,,,1412.6,,,0
621,0.03,0.072,0.055,0.0,0.0,1262.6,1266.98,1267.0,0
625,,0.344,-0.007,0.0,0.0,,284.12,284.21,0
629,-0.049,0.011,-0.041,0.0,0.0,1508.63,1511.17,1511.19,0
631,,-0.147,-0.093,0.0,0.0,,802.63,802.67,0
632,-0.016,-0.104,-0.017,0.0,0.0,263.25,263.58,263.6,0
633,-0.016,-0.104,-0.017,0.0,0.0,263.25,263.58,263.6,0
637,0.069,0.073,-0.042,0.0,0.0,637.16,639.55,639.57,0
638,,0.184,-0.147,0.0,0.0,,1048.12,1048.2,0
641,-0.068,-0.104,-0.064,0.0,0.0,322.1,322.77,322.79,0
643,,-0.227,-0.039,0.0,0.0,,241.04,241.06,0
645,-0.101,-0.099,0.121,0.0,0.0,1549.5,1551.84,1551.87,0
649,0.062,-0.099,0.136,0.0,0.0,1511.5,1513.26,1513.29,0
650,0.043,0.019,-0.007,0.0,0.0,610.28,616.06,616.08,0
652,0.043,-0.238,0.005,0.0,0.0,1323.49,1325.94,1325.97,0
654,0.062,-0.151,0.067,0.0,0.0,1145.63,1147.66,1147.68,0
656,0.036,-0.216,0.06,0.0,0.0,343.26,349.22,349.24,0
662,,0.342,-0.086,0.0,0.0,,1445.52,1445.54,0
664,-0.082,-0.201,-0.063,0.0,0.0,592.12,603.19,603.22,0
668,,-0.039,-0.155,0.0,0.0,,1045.97,1046.04,0
669,,0.072,0.043,0.0,0.0,,1160.51,1160.56,0
671,-0.016,-0.238,-0.116,0.0,0.0,1342.82,1350.68,1350.71,0
673,,0.344,0.002,0.0,0.0,,347.19,347.21,0
674,,0.072,0.063,0.0,0.0,,981.26,981.28,0
675,-0.003,-0.147,-0.07,0.0,0.0,704.33,706.86,706.88,0
676,-0.042,-0.091,-0.026,0.0,0.0,600.38,605.33,605.38,0
678,-0.075,0.52,-0.041,0.0,0.0,943.45,946.8,946.82,0
681,0.069,,,,,1397.03,,,0
682,-0.14,-0.21,0.078,0.0,0.0,1457.22,1457.75,1457.78,0
684,0.01,,,,,187.36,,,0
685,,0.293,0.056,0.0,0.0,,887.54,887.56,0
691,,-0.151,0.07,0.0,0.0,,986.19,986.21,0
692,-0.075,0.12,-0.114,0.0,0.003,259.11,259.41,259.44,0
693,0.167,0.113,-0.043,0.0,0.0,1698.78,1710.08,1710.12,0
694,,,-0.101,0.0,0.0,,,792.29,0
695,-0.003,0.073,-0.003,0.0,0.0,889.59,895.94,895.97,0
697,0.056,,,,,1393.89,,,0
701,,0.008,-0.131,0.0,0.0,,288.11,288.13,0
702,,0.296,-0.009,0.0,0.0,,1204.97,1205.0,0
704,-0.173,0.165,0.111,0.0,0.0,489.12,489.47,489.49,0
709,-0.003,-0.091,-0.055,0.0,0.0,600.45,605.19,605.22,0
712,0.036,-0.147,-0.083,0.0,0.0,636.57,639.11,639.13,0
713,-0.088,-0.104,0.02,0.0,0.0,369.21,370.83,370.86,0
717,0.062,-0.151,-0.09,0.0,0.0,1110.69,1111.86,1111.89,0
718,,0.424,0.116,0.0,0.0,,1409.49,1409.51,0
723,,0.072,0.053,0.0,0.0,,1178.33,1178.37,0
724,-0.003,0.072,-0.058,0.0,0.0,1211.12,1212.96,1212.99,0
725,,,,,,,,,0
726,-0.068,0.232,0.062,0.0,0.0,269.27,269.94,269.98,0
727,,0.232,-0.181,0.0,0.0,,1566.03,1566.05,0
729,0.03,-0.017,-0.024,0.0,0.0,1324.35,1328.39,1328.41,0
730,,-0.037,0.095,0.0,0.0,,787.6,787.62,0
731,,0.336,-0.057,0.0,0.0,,235.17,235.2,0
734,,0.184,-0.031,0.0,0.0,,1192.48,1192.52,0
735,-0.121,-0.114,0.019,0.0,0.0,235.77,237.52,237.54,0
736,-0.049,0.184,-0.072,0.0,0.0,1215.21,1220.87,1221.02,0
738,-0.082,-0.171,-0.007,0.0,0.0,559.12,560.92,560.94,0
743,,-0.104,-0.09,0.0,0.0,,415.01,415.04,0
744,,0.13,0.031,0.0,0.0,,607.36,607.38,0
745,,-0.188,0.039,0.0,0.0,,37.73,37.77,0
746,,-0.104,-0.048,0.0,0.0,,252.2,252.22,0
747,,0.332,0.041,0.0,0.0,,52.06,52.09,0
748,,-0.039,0.004,0.0,0.0,,1070.04,1070.07,0
749,,-0.151,-0.016,0.0,0.0,,1090.21,1090.24,0
753,-0.029,-0.104,-0.001,0.0,0.0,275.64,281.82,281.85,0
754,,-0.238,-0.056,0.0,0.0,,1425.22,1425.25,0
755,,-0.006,-0.105,0.0,0.0,,71.15,71.19,0
756,-0.062,0.093,0.089,0.0,0.0,1373.45,1375.59,1375.61,0
757,0.056,-0.147,0.069,0.0,0.0,894.87,901.69,901.72,0
759,,0.011,0.033,0.0,0.0,,1559.0,1559.03,0
760,,-0.119,0.064,0.0,0.0,,133.12,133.15,0
